"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10","topic_11","topic_12","topic_13","topic_14","topic_15","topic_16","topic_17","topic_18","topic_19","topic_20","topic_21","topic_22","topic_23","topic_24","topic_25","topic_26","topic_27","topic_28","topic_29","topic_30","topic_31","topic_32","topic_33","topic_34","topic_35","topic_36","topic_37","topic_38","topic_39","topic_40","topic_41","topic_42","topic_43","topic_44","topic_45","topic_46","topic_47","topic_48","topic_49","topic_50","msoa11cd"
0.0017,0.1746,0.0205,0.0014,0,0.0024,0,0,0.072,0.0404,0,0.0923,0,0,0.0756,2e-04,0,0,0,0,0.0997,3e-04,0,0,0.007,0,0,0.131,0,6e-04,0,0.0471,0,6e-04,0,0,0.048,5e-04,0.004,0,0.0099,0,0.0018,0.0838,0.0721,0,0,0.0067,0,0.0058,"E02000012"
0,5e-04,0.0141,0.2467,0,0.2721,0,0,0.0321,0,0,0.0327,0,0.0207,0.0483,2e-04,0.0036,7e-04,0.0343,0,0,0,0.1307,0,0.0902,0.0301,4e-04,0,0.005,0.017,1e-04,0,0,0.0166,0,0,0,0,0,0,0,0,9e-04,1e-04,0,0,0,1e-04,0.0027,0,"E02000013"
0,7e-04,0.0032,0,0.0038,0,0,0,1e-04,0.1406,1e-04,1e-04,0.0226,0,0,0,0.2953,0.0028,1e-04,0,0,0,1e-04,0,0.0298,0.0145,0.0303,2e-04,0.0079,0.0026,0.1009,0.0782,0,0,0.002,0,4e-04,0.0051,0.0171,0.128,0,0,0,0.0132,0,0.0179,0,0.0807,3e-04,0.001,"E02000014"
0,0.1397,0.0022,0.1144,0,4e-04,0,0,0,0,0.0444,0,3e-04,0.0093,0.0043,0,0.1219,0.0783,0,0,0,0,2e-04,0,7e-04,0.0156,0.0114,0,6e-04,0.0537,2e-04,0.1301,0.036,1e-04,9e-04,0,0.0204,0.0156,0,0.0608,0.1252,0,0,2e-04,0.0063,0.0013,1e-04,0,0,0.0053,"E02000015"
0.046,0,0.0013,0,0,1e-04,3e-04,0.0045,2e-04,0,4e-04,0,0.0015,0.0189,0.0418,0.2127,5e-04,0,0,0.1181,0.1697,0,0,0,0.1119,0.001,0.0423,0,0,3e-04,1e-04,0,0.0286,0,0,0,0,0.0016,0,0.0166,3e-04,0,0.0171,0.0695,4e-04,0,0,0.0941,0,1e-04,"E02000016"
0.129,0.2727,0,1e-04,0.0143,0.0064,0.0562,0.0097,1e-04,1e-04,1e-04,0.0057,0,7e-04,0.1656,0.0286,0,0,0,0.0382,0,0,0,4e-04,0,9e-04,0,0,0.1247,0.0041,0,1e-04,0,0.0023,0,0,0,0.0134,0.001,0.0124,0,0,0.0041,0.0893,0,0.0117,0.0073,0,0,6e-04,"E02000017"
0,0,0,0,0.1074,1e-04,0.0825,0.24,4e-04,0.0043,4e-04,0,0,1e-04,4e-04,0.0311,0.0021,0,7e-04,1e-04,1e-04,0.0069,0,0,0.0021,0.0289,0,0,0,0,0,0.011,0.0502,0.0284,0,0.0245,0.0195,0.1845,0.005,0.0059,0,0,5e-04,0.1145,0,0.0017,0.0415,0.0052,0,0,"E02000018"
0,0.024,0.1467,0,0.0613,0.0213,4e-04,0.0569,0,0,0,0,0,0.0015,0.0012,0.0345,0,0.0017,0,0.07,0,0,0,9e-04,0,0,6e-04,0,0,0.2336,1e-04,0,0,0,0.0054,0.0017,0,0,0.0453,0.0147,2e-04,8e-04,8e-04,0.0014,0.1963,0,0,0,0,0.0785,"E02000019"
0.1532,7e-04,0,0,0,1e-04,0.0193,0.0034,1e-04,0,0,0.0017,9e-04,0.1273,0,1e-04,8e-04,0.0678,0,0.0047,0.1855,0,0.0403,0.0049,0,0.0079,0.0025,0,0,0.0179,0.0011,0,0,0,0.0775,7e-04,0.0015,4e-04,0.0062,0.0865,0,0,0,0.0139,0.0397,0,0,0.0696,0,0.0637,"E02000020"
0,0,0.2641,0,0,0.1026,1e-04,0.0022,0.0079,2e-04,0,0.0291,0,0.011,0,0.3036,0.0024,0.0062,0,0,0,6e-04,0,0.082,0.0091,3e-04,0,0,0,0,0,0,0,0.0267,0.0074,0.0037,0.0225,0.002,0,0.026,0,0,0.0815,0,0,0,0,0,0.0083,0,"E02000021"
0,0,1e-04,0.0059,0.0057,0.4769,0,0.0164,0,0,0.0018,7e-04,0,0,0,0.0082,0.0037,0,0,0,0.0185,0.018,0,0.0102,0.0288,4e-04,0.0523,0.0183,0.1196,1e-04,0.005,0,0,0,0.0159,0.0088,0.0818,0,1e-04,0,0.0272,0.004,0,0,0.0712,0,0,3e-04,0,3e-04,"E02000022"
0,0,0,0.0017,3e-04,0.0025,0.0406,0.0581,0.0038,0.0038,0.1976,0.0071,0.0033,0,2e-04,0,0.1559,0.0196,3e-04,0.0534,4e-04,0,0.0914,0.0038,0.1048,0.001,0,0,0.015,0,0,0.0127,0,0.0202,0.0233,0.0055,0,0,2e-04,9e-04,1e-04,0.0368,0,1e-04,0.1217,0,5e-04,0.0117,0.0016,0,"E02000023"
0,0.0014,0.0302,0,0.0087,0.011,1e-04,0,2e-04,0.0285,7e-04,0.0221,0,0,0.3446,0.2492,0,0,0.093,0,0,0,1e-04,0,3e-04,0.0076,0,0.0274,0.0259,0,0.0257,4e-04,1e-04,0,0,0.0013,0,0.0181,0,0,0.0338,0.043,0,0,0,0.0247,0,0.0011,0,5e-04,"E02000024"
0,0.0343,1e-04,1e-04,0,0,0,2e-04,3e-04,0,0.1157,0.1994,0,0,5e-04,0.0179,0.0238,0,0,4e-04,0,0.1745,6e-04,0,0,0.0015,0.0512,0.0305,0,0.0214,4e-04,0,0,0.0037,0,0.0113,0,0,0.1547,0.0016,0,1e-04,0,0.0034,3e-04,0,0,0.125,0.0106,0.0164,"E02000025"
6e-04,0,0,0,0.0028,0,0,0.1188,0,2e-04,0.0262,0.0719,0,0.0049,0,8e-04,0,0,0,1e-04,0,0,3e-04,0,0,0.196,0,0,0.0365,0,0.0371,5e-04,0.011,6e-04,0,0.0746,0.3367,0,0.0468,0,0,0.0305,0,0,0.0026,0,0,1e-04,4e-04,0,"E02000026"
0.3841,0.051,0,3e-04,0,1e-04,0,7e-04,4e-04,1e-04,0.0034,0.0064,0.003,0.0607,0,0,0,0,0,0,0,0,0.0127,0.0025,0,0,0.0112,0,0,0.0018,0.0043,5e-04,0.0053,0.0743,0.1525,0.0183,7e-04,0,0.0103,0,0,0,0.0068,0.1806,0,2e-04,0.0073,3e-04,0,0,"E02000027"
0,0,0.0102,1e-04,0.1841,4e-04,0.0088,0,5e-04,0,0.0407,0.0321,0,0,0.0111,0,0.2002,0.0061,0,0,2e-04,0.01,1e-04,0,0,5e-04,0,0,0,0.017,0.177,0,0,0.0546,0.1181,0.0022,0,0,0.0012,1e-04,0,0,0.0113,0.1005,0,0.0083,0,0.0045,0,0,"E02000028"
0,0.001,0,1e-04,0,0.0106,0,0,0.068,0.0313,0.1902,0.0932,0.0074,0.011,0,0.0025,0,0.0016,0,4e-04,0,0,0,1e-04,1e-04,0.0084,0,0.0014,0.0308,0,0,0.0784,0,0.038,0.0045,0,0.1979,0.0103,0.006,0.056,8e-04,0,0,0.0017,0,0,0.0019,0.0972,0.0493,0,"E02000029"
0.5294,0.0226,0,0,0,0,0,0.0394,0,7e-04,0.0214,3e-04,0.1458,0.001,0.0076,0,0,0.0494,0,0,0.074,1e-04,0,1e-04,0,0,2e-04,0.0035,0,0,0.0522,4e-04,0.001,0,3e-04,0.0011,0.004,0.0312,0,0,0,0.0043,0,0,0,0,4e-04,0,0,0.0094,"E02000030"
0.0013,0,0.0108,0.0013,1e-04,0.0429,0,0.017,3e-04,0.0153,0.0119,0.0012,0.0593,5e-04,0,0.3473,0,0,0.009,0,0.0077,0.0095,3e-04,0.0013,0.4093,0,0,0,0.0039,0,0,0.001,0,1e-04,0,0.0135,0.0109,0,3e-04,0,0.0011,0.0113,0,0.001,0,0.0029,0.0016,0,0.006,1e-04,"E02000031"
0,0.0016,0.0569,9e-04,0.0208,0,0.0046,0,3e-04,0,0.0266,3e-04,0,0.1082,0,0.22,0.2704,2e-04,0,0.002,0.001,3e-04,0.0289,0.0397,0.0443,0,0.0274,0,0.0019,7e-04,0.0044,0,0.0049,1e-04,0,0,6e-04,0,0,0,0.0151,0.0057,0,0.0947,0,3e-04,0,2e-04,0,0.0168,"E02000032"
0.0031,0.0441,0,0,1e-04,0.0038,0,0.0194,0.0346,1e-04,0,0,0,0,0,0,0,0.0016,0.0226,0,3e-04,0,0,0,0.0038,0,0.0025,0.1151,0,1e-04,0,0.4011,0.0021,1e-04,0.0169,0.0011,0,0.0183,0.2042,0,0.0032,0.0011,0.0089,0.0181,5e-04,0,0,0.0018,0.0715,1e-04,"E02000033"
0,1e-04,0.0956,0.0089,0.0011,0.0028,0,0,0,0,0,0,0.0013,0,0.0082,0.0013,0,0.0412,0,0.0316,0,0,0,0.0739,0.0367,0,0,0,2e-04,0,0,1e-04,0,0.1305,0.2539,0,0,1e-04,2e-04,0,0,0.0495,0,0.0376,0.1085,7e-04,0,0.0541,0.0607,0.0014,"E02000034"
0.048,0,4e-04,0,2e-04,0.0053,0,0,0.002,0.0597,0.138,0.0256,1e-04,0,0,1e-04,0,0.0011,1e-04,0,0,0,5e-04,0,1e-04,0,0,0,0.0671,0.2535,0.1127,0.0149,0.0032,0,0.0011,1e-04,0,1e-04,0,0.0097,0,0,0.0743,0,0.0012,0.0621,0,0,0.1183,7e-04,"E02000035"
0.0152,0,0,0.0157,0.0048,0.0057,0.013,0,0,0.0405,0,0.0081,0,2e-04,0,0,0.0303,0,0,0.1065,0,0.0513,0.0226,0,0.0011,0.0506,0,0,7e-04,0.0968,0.0177,0,0.0012,0.0023,0.0061,0,0.0133,0.0041,0.0815,0,0.0031,6e-04,0.0032,0.0015,0.0188,0.3175,0.0551,2e-04,0,0.0104,"E02000036"
0,0.0261,0.0174,0,0,0,0,0,0.0044,0,0,3e-04,1e-04,0,0,0.158,0,0,1e-04,0,0,0.2892,0.0309,0,0,0,0,0.0082,0,0,2e-04,0,0.0015,0,0,0.0293,0.0011,0.2229,0.081,0.0073,0,0,0.0975,0,9e-04,0.019,0,0.0016,0.0028,0,"E02000037"
0,0.0205,0,5e-04,0.0038,0,0,0,0,2e-04,0.2154,0.3416,0.0041,0.0805,0.0032,5e-04,0,0.0829,1e-04,0,0,0.1145,1e-04,4e-04,0,0,0.0013,0,0.0063,0,0.012,0,1e-04,0,0.0039,0,1e-04,0,0,0.0511,0,0,0.0099,0.0052,0.0035,0.0377,1e-04,0,3e-04,0,"E02000038"
0.1313,0,0.0179,0.1471,0,0.0083,2e-04,0,0.001,0,0.3502,0,0.0113,0.0035,0.0656,0.0073,0,0,0,7e-04,0,0,0.0959,0,0,0,5e-04,0,0.0111,0,0,0,0.0049,0.0161,0,0,0,0,0,0.0013,0,1e-04,0,1e-04,0.1233,0,0,0.0022,1e-04,0,"E02000039"
0.0767,0.0029,0.0163,0,0,3e-04,0,0,0.2248,0,2e-04,0.0015,3e-04,0,0.0033,0.0153,0,3e-04,0.1283,0,0.0446,0,0,0.0426,0,0,0.0441,0,0,1e-04,0,2e-04,0,0,0,0.0025,0,0.0074,0.0021,0.0036,2e-04,0.0546,0,0,0,0.1582,0,0,3e-04,0.1691,"E02000040"
0,3e-04,0,0,0,0.03,0,0.002,0.061,0,0,0.0041,0,0,0.0032,0.0033,0,0,0,0,0.0021,0.0477,0.0116,0,0,0.0035,0.1171,0.2829,0,0,0.0215,0.201,0.016,0.0033,0,0,0.0158,0,0.0021,0,2e-04,0.0078,0.02,0,3e-04,0.0061,0.0324,0.1046,0,0,"E02000041"
0,1e-04,2e-04,0,0,0.0567,0,0,0.0028,9e-04,0,0,0.0853,0.0122,0.3392,3e-04,0.0088,0.0229,0.0246,0,0,2e-04,0,0.0048,7e-04,0,0.0248,0.012,0.0313,0,0,0.0217,0,0,6e-04,1e-04,0,0.0283,0,0.2893,1e-04,0,0,0.0027,0.0265,1e-04,3e-04,0,0.0025,0,"E02000042"
3e-04,0,0.0071,0.0081,0,0,0,0,0.1793,0,0,0,0,0,2e-04,3e-04,0.1031,0.0365,0.0158,0,0.1227,0.1754,1e-04,0,0.0119,0,0.1068,0,0.0037,0,0.0369,0.0371,0.0068,0,0,0,0,0,0,0,0,0.1121,0,0,0.0358,0,0,0,0,0,"E02000043"
0.0066,0,0,4e-04,0,3e-04,0.003,6e-04,0.0045,0.4317,1e-04,0,0,0,0,0,0,0.0894,0.0099,1e-04,0,0,0.0012,0.0182,0.0801,0,0.056,0,0,3e-04,0.0114,0.0104,4e-04,0,7e-04,0,0,0,0,2e-04,0,0.2189,0.0328,0,0,0,0.0019,0.0204,0,2e-04,"E02000044"
5e-04,1e-04,0,0,0,0,0,0,0.1338,0,0,0.0393,0,0,0,2e-04,0,0.1877,0.0779,0.3893,0,0,0,0.0351,0,0,0.0063,1e-04,2e-04,0,7e-04,0,0,0,2e-04,0,8e-04,0,0.0643,0,0,0.0382,0,0,0,0,7e-04,0.0241,0,2e-04,"E02000045"
0,0.0189,0.0034,0,0.0014,0,0.0134,0,0,2e-04,0.0213,0.0289,0.2266,0,0,0.0022,0,0,0.0138,3e-04,0,0.0277,0,0,0.0112,2e-04,0.001,0,0,0.0082,0,3e-04,0.0211,1e-04,0,0.0099,0,0,0.143,0,0,0.0088,0.0387,0.0047,0.0106,0.1797,5e-04,0.0043,0.1996,0,"E02000046"
0,2e-04,0.0412,0.0124,0,0.0214,0.0026,2e-04,0.0142,1e-04,0.0027,0,0.0384,0,0,0,0,3e-04,0,0.3192,0,0,0,0.0941,0.0025,0.0012,0,0.011,0,0.0109,0,0,0.0657,0.0012,0,0,0,3e-04,0.0028,0,0,0,0.0049,0.2537,0,0.0032,0.0064,0,0.0156,0.0737,"E02000047"
0.0147,0.0026,0,0.0822,0,0.3715,0,0,1e-04,0.0838,0.0215,0,0,0,0,0.0182,0.0259,0.0011,0,0.0091,0,0,0.0018,0,0,0.037,0,0,0.01,0.0097,0,0.0448,0,0,0,5e-04,0,0,0,0.0256,0,0,0.2046,0,0.0036,1e-04,1e-04,0.0168,0,0.0144,"E02000048"
0,0.0321,0,0.0165,0,3e-04,0.1247,0,0.0042,0,9e-04,0,0.0013,2e-04,0.0166,0.2699,0,0,0,0,0,0.07,0.1002,0,0,0.0807,0.0017,0.0332,0,0,0.0465,0,0,0,7e-04,4e-04,0,0,0,0.0236,0.0084,0.0059,0.0069,0.0211,0.1328,0,0.0011,0,0,0,"E02000049"
6e-04,0.0385,2e-04,0,6e-04,0,0.0343,0,0,5e-04,2e-04,0,0,0,0.0233,0,0.0022,0.0771,0.1837,4e-04,0.0029,0.3304,0.005,0,0.0123,0,0,0,2e-04,0.0028,0,0.0029,0.0516,0.001,0.0036,0.1233,0,0.0013,0.001,0.0044,7e-04,0.0023,0,0.042,0,0,0.0185,0.0322,0,3e-04,"E02000050"
0.0489,7e-04,2e-04,7e-04,0,0,0,0.0096,0.0416,0.0332,0,0.003,0,1e-04,0.0078,5e-04,0,0,0,0.0284,0,4e-04,0,0.0449,6e-04,0.0409,0.0069,7e-04,8e-04,0.0106,0,0,0,0,0,0,0,0.1732,0.0124,0.0015,0.0342,0.0054,0,0.0094,1e-04,0.0643,0.0649,0.012,0.3367,0.0053,"E02000051"
0,0.023,0,0.0229,0.0254,0,0.0044,0.0037,3e-04,0,1e-04,0.0016,1e-04,0,1e-04,0,5e-04,0.1609,7e-04,0,0,0.3129,6e-04,0,0,0,0.0406,0.1423,0,0.0339,0,0,0.0075,0,0.1471,0.0033,8e-04,0.0047,0,0,7e-04,0,1e-04,0.0525,0.009,0,0,1e-04,0,0,"E02000052"
0,0.1018,1e-04,0.0786,1e-04,0,0,1e-04,0,1e-04,0,0.2091,0,0,0.1796,0,0,0,2e-04,0.0954,0,0,0.0197,0,0,0.0019,0.0088,0,0.0076,0.0136,0.1061,0,0.0054,0,0.003,0,0.0189,0.1412,0,0,1e-04,0.008,0,2e-04,0,0,2e-04,0,0,1e-04,"E02000053"
0.0016,0.0015,1e-04,0.0014,0,0,5e-04,6e-04,0.0034,1e-04,0,0,0.0339,0,0.0682,0,0.0028,0,0,0,0.1478,0,0.0029,0,0.081,0.0568,0.3188,0.1003,9e-04,0.0012,0.0132,0.0107,0.0199,0.002,0,0,0,0.0514,0.0257,0.0014,0,0,0,0.0336,0,1e-04,0,9e-04,0.0172,0,"E02000054"
0.02,0.0195,1e-04,0.0188,3e-04,0,7e-04,0.0052,0,0,0.0625,0,0,1e-04,0.0046,0,2e-04,0,0,0.0196,0,0.0248,3e-04,0,0.1009,0,0.0087,0,0.0019,0.0177,0,0.0955,0,0,0,0,0,0.2155,0,0,0.0013,0.1153,0.2384,0.0211,0,0,0,1e-04,0.0068,0,"E02000055"
0,0,0,0,0,0,0.0044,0.0019,7e-04,1e-04,0,0.007,0,0.377,1e-04,0.0011,0,5e-04,0.0391,0.0313,3e-04,0.0354,1e-04,0.0907,0,0.0806,1e-04,0,0.0131,0.0096,7e-04,0,0.0025,0,0,0.0022,0.0076,3e-04,0,0,3e-04,0.0047,0,1e-04,0.2517,1e-04,0.0339,0.0022,6e-04,0,"E02000056"
0,0.1096,0,0.0057,1e-04,0.0325,0.2977,0,0,0.0212,0,0.0787,0,0,3e-04,0,0,0.0072,0,0.0025,0,0.1436,2e-04,0.0067,0,0,0,0.0189,0.0523,4e-04,0,8e-04,0.0083,1e-04,1e-04,0.0012,0,3e-04,1e-04,0.0134,3e-04,2e-04,0,0.1473,0.0447,0.002,6e-04,1e-04,0.0029,1e-04,"E02000057"
0.0114,0,7e-04,0,0.1671,0,3e-04,0.0225,0,0,1e-04,0,0,0.0366,0,0.5561,0.0015,0,0.0013,2e-04,0,1e-04,0,5e-04,0.0023,1e-04,0.0031,0.0132,0,1e-04,2e-04,0.0046,0,0.0058,0.0093,0,0,6e-04,4e-04,0,0.1476,0,0,6e-04,1e-04,0.0073,0,0.0017,0.0044,1e-04,"E02000058"
0,0,1e-04,1e-04,0.001,0.0584,0.0045,0.0037,0,0.0023,0,0,0,0.0575,0.543,0,0,0.0262,0,0.0315,0,0,0.0023,2e-04,0,0,0,0.0445,5e-04,0.021,0.0175,0,0,0.0176,0,0.0018,0,0.0075,0.0363,0,0,1e-04,0.0019,4e-04,1e-04,0,5e-04,6e-04,0.0453,0.0736,"E02000059"
0.0025,0.0358,0,0.138,0.0072,0,0.0016,0,0.0143,0.0036,0,0,0.003,0,3e-04,1e-04,0.0434,0.0255,0,0,0,0,5e-04,0.0065,0,0,0.5406,0,0,0,0,0,4e-04,0,0,1e-04,0,0.0382,0.0391,0.0715,0.0155,0,0,6e-04,0,0.007,0,0.004,7e-04,0,"E02000060"
0,0.0574,0,0.0152,0.0079,0,0,0,0.0272,0.0358,0,0.0114,0,6e-04,0,0.0306,0,0,0.1497,1e-04,0.0957,0,0.0277,1e-04,0,0.1895,0.0039,0,0.0035,0.0208,0,0.1772,0,0,0.1269,0,0,0,2e-04,0.0051,0,0,0.0125,2e-04,0,3e-04,4e-04,0,0,0,"E02000061"
1e-04,0.0043,1e-04,0.0016,0.0017,0,0,0.019,2e-04,0.0054,0.0034,0,0,0,0,0,0.072,1e-04,0.082,0,0,0,0,0.0026,0,5e-04,0.001,0.0071,1e-04,0.0047,0.1714,0.0089,0.0652,0,0.0136,0.001,0.042,1e-04,0.0821,2e-04,0,6e-04,0.0335,3e-04,0.0023,0.0407,0.0017,0,0.3305,0,"E02000062"
0,0,0.0058,0.0476,0.229,0,0,0,0,0.0066,0,0,1e-04,0.0897,1e-04,0.0577,0,0.0147,0.0012,0,0.037,0.0166,0,0,0,0.0073,0.0576,0.0286,0.0905,5e-04,0,0.0034,0.16,1e-04,0.0018,0.0024,0.0146,0.0251,0.1005,0,3e-04,0,0,0,9e-04,0,0,0,2e-04,0,"E02000063"
0,0,0,0.003,0,0.028,0.0084,0,0.0413,0,0,0,0.0012,0,0,0,7e-04,0,0,0.4115,0.001,0.0079,0.1662,0,0.0181,0,0,0.0053,0,0,0,0.0036,0.0016,0.0056,0,0,0,0.0059,0,0.0332,0.0035,0.006,0.0894,0,0,0,0,0.1574,0,0.0012,"E02000064"
0.0096,0,3e-04,1e-04,3e-04,0.0111,0,0,0,0,0,4e-04,0.1742,0.0048,0.0448,1e-04,0.003,0,0,2e-04,7e-04,0.0035,0.0309,4e-04,0.2057,0.0083,0.0011,0,1e-04,1e-04,0,0,0,0.2068,0.0281,0,0,0,0.1206,0,0,0,5e-04,0,0.0458,0,6e-04,0,0.0013,0.0964,"E02000065"
0,0,2e-04,0,0,0,0.003,0.1012,0,0.098,6e-04,0,0.0139,0.0265,0.0056,0.0042,0,0.0911,0,0.0934,0.0262,2e-04,0,0.0061,0,4e-04,0,0.1177,0,0.0176,0,0.1336,0,4e-04,0,0.0071,0.0879,0.0018,0.0021,0,0,0.1342,0,0.012,0,1e-04,0.0037,0.0112,0,0,"E02000066"
0.0234,0.001,0.0027,0,0,0.1135,0.0075,5e-04,4e-04,0.0023,0,0.0051,0.0424,0.0013,0.016,0.2267,0,0.0128,0.0307,0,0,0,0,0.018,0.0443,0.004,0.0088,0.035,0,0.0035,0.2885,0,0.0039,0,0.0136,0,0,1e-04,0,0.0523,0.0068,0,0.0084,1e-04,0.0055,0,0,0.0185,0,0.0024,"E02000067"
0.085,8e-04,3e-04,0,8e-04,0,0,0,0.0136,0,0,1e-04,0,0.0049,0,0.0012,0.1261,0,6e-04,0.0991,0,0,0,0.002,0.0126,0.0177,0,0,0,2e-04,1e-04,2e-04,0.239,0.0316,0,2e-04,0,0.0331,3e-04,0.0234,0.3058,0,0,0,4e-04,5e-04,0,0,2e-04,0,"E02000068"
0,0.0015,0.0177,0,9e-04,0.0147,0.0015,0,0.0797,0.1247,1e-04,0.0597,0.0162,0,0,0,0,0,0,0,0.2494,0,0,0.0431,0,0.1667,2e-04,0,0,0,0.0024,0,0,0.0165,0.0092,0.031,0,0,0,0,0,7e-04,0,0.0042,0,2e-04,0.1593,0,0,0,"E02000069"
0,0.0119,4e-04,0.0058,1e-04,0.1678,0,0.0116,0,2e-04,0.0198,9e-04,0.0249,2e-04,0.1127,0,0.0485,9e-04,0,0.1012,0.003,0.0244,0.0776,0,0,0,0.0048,1e-04,0.0046,0.1173,0.0171,0.1589,0,0.0161,0.0282,0.0236,1e-04,0.0146,0,0,0,0,0.0011,0,0,0.0016,0,0,0,0,"E02000070"
0,1e-04,0,1e-04,0.032,0.001,0,0.0035,0,1e-04,1e-04,0,0,0.0604,0,1e-04,3e-04,0,0.2748,0,2e-04,0.0566,0,0.0235,0,0.0116,0,0.0012,0,1e-04,0,0.042,0.2147,0,0.0012,0,0.093,0.0025,1e-04,0,0.1628,0.0019,0.0012,0,0,0.0022,4e-04,0.0102,0,0.002,"E02000071"
0.0591,0.0055,0,0.3652,0.0182,0.0047,0.0179,0,0.0091,1e-04,0.0014,1e-04,0,0,0,0,1e-04,0.0478,0,0,0,0.0029,0,0,0,0,0.045,0,9e-04,0.0015,0.004,0.003,0.1828,0,0,9e-04,0.0541,0,0,0,0,0,0,0.0916,0.0405,0,0.0224,0,0.0171,0.0041,"E02000072"
